R sample_size behaviour treatment t1 t2 delta_t R_se
0.2977733375882884 57 Struggle cortisol 61 92 31 0.18873859451358188
0.288475235195932 57 Hand cortisol 61 92 31 0.17676556358582246
0.7714293945624106 54 NO_touches cortisol 61 92 31 0.19671832676349116
0.024842794144729643 57 LF_trips cortisol 61 92 31 0.1214186848980967
0.1320371332381346 60 Struggle control 61 92 31 0.15427508356036215
0.01014009728631736 60 Hand control 61 92 31 0.11950457020868718
0.4118577497056172 56 NO_touches control 61 92 31 0.2099079115329063
0.046224495005308626 55 LF_trips control 61 92 31 0.15174829633655404
0 56 Struggle cortisol 92 123 31 0.12549155469564086
0.583551354751412 56 Hand cortisol 92 123 31 0.17930212394839667
0.5609475269464881 52 NO_touches cortisol 92 123 31 0.2102287712389879
0.24065472012344755 54 LF_trips cortisol 92 123 31 0.17619209982947867
0.2636058764159554 58 Struggle control 92 123 31 0.17531899986872018
0.19092601437670353 58 Hand control 92 123 31 0.16057359268737387
2.816702230221527e-7 56 NO_touches control 92 123 31 0.1307789354605891
0.3765356411819936 58 LF_trips control 92 123 31 0.18206358714499035
0.23765306699922722 57 Struggle cortisol 61 123 62 0.18487313060646648
0.36828085228743823 57 Hand cortisol 61 123 62 0.18112849343415666
0.28876032025955883 56 NO_touches cortisol 61 123 62 0.18651464769149484
8.88531464247604e-9 55 LF_trips cortisol 61 123 62 0.12688143666136914
0.04334629862189201 58 Struggle control 61 123 62 0.1345771594430758
4.774576184829894e-17 58 Hand control 61 123 62 0.12246624114082671
7.970514955819094e-8 56 NO_touches control 61 123 62 0.13107088123258917
8.671411559733546e-11 55 LF_trips control 61 123 62 0.13253522134975046
