key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract
Adamczyk_2011_ANOFANSC,relationships between milk performance and behaviour of cows under loose housing conditions,"Adamczyk, Krzysztof and Slania, Anna and Gil, Zygmunt and Felenczak, Andrzej and Bulla, Jozef",ANNALS OF ANIMAL SCIENCE,NA,11,NA,283-293,2011,NA,NA,"The aim of the study was to determine relationships between the milk performance and be of cows under the loose-housing system. Forty-nine Holstein-Friesian cows from the same technological group were investigated. The following parameters were analysed: milk yield and milking time at 4 successive milkings, body weight, age and health, hornedness/hornlessness, days from cow placement in the group, number of days from last calving, number of days from last oestrus, and number of days of pregnancy. The behavioural traits analysed were walking activity, the speed of cow approaching the feeding table, the order of cow entry into the milking parlour during milking, and cow temperament. Considerable repeatability was found for the order of the cows at different milkings, with no correlation between this trait and cows' milk yield. The speed of cow approaching the feeding table was not repeatable."
Adamczyk_2011_AnofAnSc,relationships between milk performance and behaviour of cows under loose housing conditions [wspzalenoci mie{ogonek}dzy uytkowocia{ogonek} mleczna{ogonek} krw a ich behawiorem w warunkach chowu wolnostanowiskowego],"Adamczyk, K. and Sania, A. and Gil, Z. and Felenczak, A. and Bulla, J.",Annals of Animal Science,NA,11,NA,283-293,2011,NA,NA,"The aim of the study was to determine relationships between the milk performance and behaviour of cows under the loose-housing system. Forty-nine Holstein-Friesian cows from the same technological group were investigated. The following parameters were analysed: milk yield and milking time at 4 successive milkings, body weight, age and health, hornedness/hornlessness, days from cow placement in the group, number of days from last calving, number of days from last oestrus, and number of days of pregnancy. The behavioural traits analysed were walking activity, the speed of cow approaching the feeding table, the order of cow entry into the milking parlour during milking, and cow temperament. Considerable repeatability was found for the order of the cows at different milkings, with no correlation between this trait and cows' milk yield. The speed of cow approaching the feeding table was not repeatable."
Adams_2011_APPLANIMBEHASCIE,behavioural and corticosterone responses to capture and confinement of wild blackbirds (turdus merula),"Adams, Nigel J. and Farnworth, Mark J. and Rickett, Jennifer and Parker, Kevin A. and Cockrem, John F.",APPLIED ANIMAL BEHAVIOUR SCIENCE,NA,134,NA,246-255,2011,NA,10.1016/j.applanim.2011.07.001,"Capture and temporary confinement of wild birds are integral parts of wildlife management practice and research used, for example, during translocation or reintroduction initiatives. We report here on the behavioural and stress hormone (corticosterone) responses of wild blackbirds (Turdus merula) to capture and short-term confinement, partly consistent with some translocation protocols. We examine also the relationship between behaviour and plasma corticosterone concentrations. Acute capture induced responses in corticosterone concentration, integrated over 60 min, at the commencement and conclusion of a 22-day confinement in aviaries were similar at 669.1 +/- 66.6 (mean +/- S.E.) and 678.2 +/- 115.8 ng/mL/min respectively. However, base levels of corticosterone were higher at final release than at initial capture (6.8 and 2.2 ng/mL respectively, P < 0.001). This may reflect that the 3-week period of confinement is a chronic stressor. There was an increased propensity for locomotory behaviours (P = 0.001), maintenance behaviours (P = 0.032) and alarm vocalisations (P = 0.04) over the period of captivity. The frequency of alert behaviours (P < 0.001) decreased, probably related to habituation to captivity and possibly an associated decrease in perceived predation or starvation risk. Individual behavioural responses were generally repeatable across all observation days, with locomotory behaviours showing the highest repeatability (Repeatability = 0.592 +/- 0.084, P < 0.0001). Significant repeatabilities were also detected for corticosterone concentrations measured at 60 min after capture (Repeatability = 0.619 +/- 0.166, P = 0.0007) and corrected integrated corticosterone (Repeatability = 0.368 +/- 0.166, P = 0.039) measured on initial capture and on release. We used principle component analysis to generate a composite measure of locomotory, alert and vocalisation behaviours. This measure was positively correlated with corrected integrated corticosterone response at release (P = 0.019) when behaviour was summed across all observation days. Corrected integrated corticosterone response at initial capture (P = 0.049) was also correlated with this behavioural measure at 20 days after capture. This, in combination with the consistency in the behavioural and corticosterone responses across the period of captivity, may reflect individual differences in coping abilities to confinement that may ultimately predict post-translocation survival. (C) 2011 Elsevier B.V. All rights reserved."
Adcock_2015_PH..BE,the stress response and exploratory behaviour in yucatan minipigs (sus scrofa): relations to sex and social rank,"Adcock, Sarah J. J. and Martin, Gerard M. and Walsh, Carolyn J.",PHYSIOLOGY \& BEHAVIOR,NA,152,NA,194-202,2015,NA,10.1016/j.physbeh.2015.09.033,"According to the coping styles hypothesis, an individual demonstrates an integrated behavioural and physiological response to environmental challenge that is consistent over time and across situations. Individual consistency in behavioural responses to challenge has been documented across the animal kingdom. Comparatively few studies, however, have examined inter-individual variation in the physiological response, namely glucocorticoid and catecholamine levels, the stress hormones secreted by the hypothalamic-pituitary-adrenal axis and the sympathetic nervous system, respectively. Variation in coping styles between individuals may be explained in part by differences in social rank and sex. Using 20 Yucatan minipigs (Sus scrota) we: (1) investigated the existence of consistent inter-individual variation in exploratory behaviour and the hormonal stress response, and tested for correlations as predicted by the coping styles hypothesis; and (2) evaluated whether inter-individual behavioural and hormonal variation is related to social rank and sex. Salivary stress biomarkers (cortisol, alpha-amylase, chromogranin A) were assessed in the presence and absence of a stressor consisting of social isolation in a crate for 10 min. Principal components analysis on a set of behavioural variables revealed two traits, which we labelled exploratory tendency and neophobia. Neither exploratory tendency nor neophobia predicted the physiological stress response. Subordinate pigs exhibited higher catecholamine levels compared to dominant conspecifics. We observed sex differences in the repeatability of salivary stress markers and reactivity of the stress systems. The results do not provide support for the existence of behavioural physiological coping styles in pigs. Sex is an important determinant of the physiological stress response and warrants consideration in research addressing behavioural and hormonal variation. (C) 2015 Elsevier Inc All rights reserved."
Adolph_2007_FUNCECOL,estimating phenotypic correlations: correcting for bias due to intraindividual variability,"Adolph, S. C. and Hardin, J. S.",FUNCTIONAL ECOLOGY,NA,21,NA,178-184,2007,NA,10.1111/j.1365-2435.2006.01209.x,"1. Correlations between phenotypic traits are important in a number of contexts in physiological ecology, evolutionary physiology, and behaviour. Correlations can reflect functional connections or trade-offs among performance traits (e.g. bite force, jumping distance) and can reveal causal relationships between whole-organism traits and lower-level biochemical or morphological traits. 2. However, when one or both traits exhibit intraindividual variability (i.e. repeatability < 1), conventional estimates of Pearson product-moment correlation coefficients are biased towards zero (= attenuated). The magnitude of this bias decreases with increases in the number of measurements used to calculate the mean value of the trait for each individual. The bias varies inversely with the repeatability of each trait. 3. We present an estimator for the correlation coefficient that eliminates this bias. This estimator is based on an equation originally presented in 1904 by Spearman, and applied by researchers in psychological testing and nutritional epidemiology. The estimator is a simple function of the within- and among-individual components of variance for each of the two traits. 4. Simulations show that optimal sampling effort usually involves a small number of trials per individual and a large sample of individuals (for a fixed total sample size), although correlations between traits with low repeatabilities may be more precisely estimated with a larger number of trials per individual and a smaller number of individuals. 5. In addition to reducing the accuracy of the estimate, attenuation also reduces statistical power for detecting significant correlations. However, we do not recommend using the unbiased estimator for testing whether correlations differ from zero, because this inflates Type I error rates. Instead, the uncorrected (conventional) estimator should be used for hypothesis testing. 6. The unbiased estimator is not appropriate for correlations involving maximum or minimum values for each individual (e.g. maximum sprint speed) because sampling distributions of these extreme values typically have different properties than the sampling distributions of individual mean values."
Adriaenssens_2011_APPLANIMBEHASCIE,learning and context-specific exploration behaviour in hatchery and wild brown trout,"Adriaenssens, Bart and Johnsson, Jorgen I.",APPLIED ANIMAL BEHAVIOUR SCIENCE,NA,132,NA,90-99,2011,NA,10.1016/j.applanim.2011.03.005,"In this study we investigate whether rearing environment (wild vs. hatchery) affects the ability of brown trout parr (Salmo trutta) to learn two foraging tasks. Hatchery- and wild-reared brown trout were trained in two different foraging tasks: locating food hidden in a maze and finding a cryptic prey, and their performance within and across tasks was compared. Fish reduced their search time for cryptic prey, but not maze search time, by learning. In contrast to most previous studies hatchery-reared trout generally tended to be more successful feeders and showed faster learning than wild trout when foraging on cryptic prey. This appeared to be due to motivational effects rather than based on cognitive skills. In addition, we examine whether exploration behaviour in brown trout is repeatable across time and context (i.e. reflecting a behavioural syndrome). Individual exploration tendency was repeatable within tasks, suggesting the occurrence of personality in brown trout. However, individuals that were fast explorers in the cryptic prey task were not necessarily fast to explore the maze. Thus, a context-specific behavioural syndrome was found to best explain exploratory behaviour for both hatchery and wild trout. However, repeatability of exploration behaviour within tasks differed between hatchery and wild trout, where wild trout were found to be more consistent in their exploration strategy. (C) 2011 Elsevier B.V. All rights reserved."
Ahtiainen_2003_AnnaZoolFenn,fluctuating asymmetry and sexual performance in the drumming wolf spider hygrolycosa rubrofasciata,"Ahtiainen, J.J. and Alatalo, R.V. and Mappes, J. and Vertainen, L.",Annales Zoologici Fennici,NA,40,NA,281-292,2003,NA,NA,"Recently, there has been much interest in estimating fluctuating asymmetry (FA) of morphological traits as a short-cut measure of individual quality. FA deals with small differences around the symmetry value of zero. Thus, measurement error is often relatively large. However, repeated measurements and large sample sizes allow reliable estimates of FA that can be corrected for errors. The purpose of this study was two-fold: at the biological level, we examined with a large sample size (N = 804) whether pedipalp FA could be used as a short-cut measure of individual quality in the wolf spider Hygrolycosa rubrofasciata. This was done by estimating how strongly FA correlates with male sexual performance, i.e. drumming rate and mobility. At the statistical level, we examined how the deflating effect of measurement error could be eliminated to get unbiased correlations between FA and any repeatable trait. We also examined which is the more economical way to get accurate population-level estimates of FA-trait associations, to increase sample size or the number of within-subject repeats. Our results show that there was a very weak, but significant negative relationship between pedipalp FA and mobility (Kendall's partial rk = -0.086). However, this value inevitably underestimates the true relationship, given the large measurement error. It is possible to estimate the unbiased relationship by correcting the above correlation coefficient with effective reliability estimates of both FA and sexual performance. After the correction, the unbiased relationship between FA and mobility was r = -0.183. Our results indicate that FA is weakly related to male sexual performance in H. rubrofasciata. Our results also show that leptokurtosis, which is characteristic of signed FA distributions, was entirely caused by 17 outlier individuals. This indicates that large sample sizes are important to illustrate the true between-individual heterogeneity in FA. Furthermore, our power analysis indicates that it pays to measure more individuals than to increase the number of within-subject repeats to obtain accurate population-level estimates of FA-trait associations."
Akay_2013_ProfthRoSoB.BiSc,individual differences affect honest signalling in a songbird,"Akay, . and Campbell, S.E. and Beecher, M.D.",Proceedings of the Royal Society B: Biological Sciences,NA,281,NA,NA,2013,NA,10.1098/rspb.2013.2496,"Research in the past decade has established the existence of consistent individual differences or 'personality' in animals and their important role in many aspects of animal behaviour. At the same time, research on honest signalling of aggression has revealed that while some of the putative aggression signals are reliable, they are only imperfectly so. This study asks whether a significant portion of the variance in the aggression-signal regression may be explained by individual differences in signalling strategies. Using the wellstudied aggressive signalling system of song sparrows (Melospiza melodia), we carried out repeated assays to measure both aggressive behaviours and aggressive signalling of territorial males. Through these assays, we found that aggressive behaviours and aggressive signalling were both highly repeatable, and moreover that aggressive behaviours in 2009-2010 predicted whether the birds would attack a taxidermic mount over a year later. Most significantly, we found that residual variation in signalling behaviours, after controlling for aggressive behaviour, was individually consistent, suggesting there may be a second personality trait determining the level of aggressive signalling. We term this potential personality trait 'communicativeness' and discuss these results in the context of honest signalling theories and recent findings reporting prevalence of 'under-signalling'.  2013 The Author(s) Published by the Royal Society. All rights reserved."
Alakortes_2017_INFAMENTHEALJOUR,parental reports of early socioemotional and behavioral problems: does the father's view make a difference?,"Alakortes, Jaana and Fyrsten, Jenni and Bloigu, Risto and Carter, Alice S. and Moilanen, Irma K. and Ebeling, Hanna E.",INFANT MENTAL HEALTH JOURNAL,NA,38,NA,363-377,2017,NA,10.1002/imhj.21644,"Although both mothers and fathers are essential sources of information to address early socioemotional/behavioral (SEB) problems, there continues to be a dearth of studies considering both parental views. A sample of 208 toddlers (M-age = 19.3 months) was recruited through public child health centers. Both parents of 172 toddlers (76 boys, 96 girls) completed the Child Behavior Checklist (CBCL) 1-5 (T.M. Achenbach \& L.A. Rescorla, 2000; Finnish translation by F. Almqvist, 2001). Correspondence (intraclass correlation coefficients; ICCs) between the maternal and paternal CBCL ratings was good (.64) for the Internalizing and excellent (.76) for the Externalizing and Total Problems scores whereas ICCs varied from .45 for the Withdrawn to .76 for the Sleep Problems and Aggressive Behavior syndrome scores. Regarding discrepancies, mothers consistently reported higher CBCL scale scores than did fathers. Most significant differences between the parental ratings were found on the Aggressive Behavior syndrome, Externalizing, and Total Problems scales. Interparental rating discrepancies increased with elevations in the corresponding CBCL scale scores. Positive correlations were found between maternal, but not paternal, parenting stress and interparental rating discrepancies on the CBCL. The observed differences between maternal and paternal ratings highlight the importance of gathering reports from both parents when assessing early SEB problems. The findings are more profoundly discussed in the article."
Alcalay_2014_BEHECOANDSOC,behavioral repeatability and personality in pit-building antlion larvae under differing environmental contexts,"Alcalay, Yehonatan and Ovadia, Ofer and Scharf, Inon",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,NA,68,NA,1985-1993,2014,NA,10.1007/s00265-014-1804-x,"Over the last decades, there has been growing interest among behavioral ecologists in exploring animal personalities. However, while the foraging behavior of active foragers has been extensively studied, only little is known about that of sit-and-wait predators within the personality framework. We investigated the existence of repeatability and personality in pit-building antlion larvae in the context of foraging (pit construction) and habitat selection (relocation distance and direction) over time and under three environmental contexts: thermal conditions, sand depth, and soil type. Over time, repeatability was much stronger for relocation distance than for movement directionality. Additionally, we observed positive correlations across the two levels of sand depth and soil type but not between thermal conditions. Change in substrate type may induce faster decision-making in these sand-dwelling insects or could be perceived by such insects as a more drastic alteration in their habitat. We suggest that different individuals indeed possess distinct personalities. We also suggest that repeatability should be measured at two levels: the amount of energy expenditure (distances and pit construction) and the pattern of energy expenditure (directionality). Finally, our study illustrates how differing environmental conditions can result in differing levels of plasticity, while largely preserving individual personalities."
