behaviour life_stage sex R CI_lower CI_upper p_val Key species_common sample_size measurements_per_ind context type_of_treatment treatment event t1 t2 delta_t remarks R_se
aggressiveness_or_foraging_behaviour Juvenile 2 0 0 0.71 0.5 V5SYT8AL desert_funnel_web_spider 98 19 1 0 NA NA 109.5 123.5 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Juvenile 1 0 0 0.30 0.5 V5SYT8AL desert_funnel_web_spider 98 54 1 0 NA NA 109.5 123.5 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Penultimate 2 0.63 0 0.94 0.01 V5SYT8AL desert_funnel_web_spider 98 22 1 0 NA NA 246.375 260.375 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Penultimate 1 0.02 0 0.29 0.5 V5SYT8AL desert_funnel_web_spider 98 67 1 0 NA NA 246.375 260.375 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Mature 2 0 0 0.48 0.5 V5SYT8AL desert_funnel_web_spider 98 22 1 0 NA NA 319.375 333.375 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Mature 1 0.27 0.02 0.54 0.02 V5SYT8AL desert_funnel_web_spider 98 54 1 0 NA NA 319.375 333.375 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Juvenile_Penultimate 2 0 0 0.30 0.5 V5SYT8AL desert_funnel_web_spider 98 19 1 0 NA molts 109.5 246.375 136.875 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Juvenile_Penultimate 1 0 0 0.12 0.5 V5SYT8AL desert_funnel_web_spider 98 54 1 0 NA molts 109.5 246.375 136.875 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Penultimate_Mature 2 0.62 0.26 0.80 6e-4 V5SYT8AL desert_funnel_web_spider 98 22 1 0 NA molts_sexual_maturity 246.375 319.375 73 "timings in days assumed from standard life-cycle of Agelenopsis" NA
aggressiveness_or_foraging_behaviour Penultimate_Mature 1 0.17 0.03 0.32 0.01 V5SYT8AL desert_funnel_web_spider 98 54 1 0 NA molts_sexual_maturity 246.375 319.375 73 "timings in days assumed from standard life-cycle of Agelenopsis" NA
exploration_or_activity Juvenile 2 0 0 0.68 0.5 V5SYT8AL desert_funnel_web_spider 98 19 1 0 NA NA 109.5 123.5 14 "timings in days assumed from standard life-cycle of Agelenopsis" NA
