"label","type","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","eissn","unique.id","article.number","orcid.numbers","researcherid.numbers","note","order_initial","order_alphabetical","order_random","color","selected","notes"
"X.ISI.000446603600001","article","Vaatainen, Reetta and Huuskonen, Hannu and Hyvarinen, Pekka and Kekalainen, Jukka and Kortet, Raine and Torrehas Arnedo, Marina and Vainikka, Anssi","Do Metabolic Traits, Vulnerability to Angling, or Capture Method Explain Boldness Variation in Eurasian Perch?","PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY","2018","91","6","1115-1128","NOV-DEC","The pace-of-life syndrome (POLS) concept predicts that individuals with high baseline metabolic rates demonstrate high boldness, aggressiveness, and activity, especially in food acquisition, with associated relatively greater energy requirements. In fishes, these behaviors may increase individual vulnerability to angling. To test the predictions of the POLS concept, we quantified individual standard metabolic rate (SMR) and boldness in both wild-caught and hatchery-reared Eurasian perch (Perca fluviatilis). We found both SMR and boldness to be repeatable traits but detected no correlation between them. Individual vulnerability to angling was assessed in the hatchery-reared perch, but we found no difference in boldness or SMR between vulnerable and nonvulnerable perch. Wild-caught perch were ice fished using either natural or artificial bait, and we observed no differences in boldness or SMR with respect to bait type or capture order. Our findings do not support the predictions of the POLS concept and, consistent with earlier studies in perch, suggest that angling may not drive selection against boldness in this species.","10.1086/700434","1522-2152","1537-5293","ISI:000446603600001",NA,NA,NA,NA,1,174,267,"#000000",NA,""
"X.ISI.000447424600004","article","Vanden Broecke, Bram and Borremans, Benny and Marien, Joachim and Makundi, Rhodes H. and Massawe, Apia W. and Leirs, Herwig and Hughes, Nelika K.","Does exploratory behavior or activity in a wild mouse explain susceptibility to virus infection?","CURRENT ZOOLOGY","2018","64","5","585-592","OCT","Exploration and activity are often described as trade-offs between the fitness benefits of gathering information and resources, and the potential costs of increasing exposure to predators and parasites. More exploratory individuals are predicted to have higher rates of parasitism, but this relationship has rarely been examined for virus infections in wild populations. Here, we used the multimammate mouse Mastomys natalensis to investigate the relationship between exploration, activity, and infection with Morogoro virus (MORV). We characterized individual exploratory behavior (open field and novel object tests) and activity (trap diversity), and quantified the relationship between these traits and infection status using linear regression. We found that M. natalensis expresses consistent individual differences, or personality types, in exploratory behavior (repeatability of 0.30, 95\% CI: 0.21-0.36). In addition, we found a significant contrasting effect of age on exploration and activity where juveniles display higher exploration levels than adults, but lower fieldactivity. There was however no statistical evidence for a behavioral syndrome between these 2 traits. Contrary to our expectations, we found no correlation between MORV infection status and exploratory behavior or activity, which suggests that these behaviors may not increase exposure probability to MORV infection. This would further imply that variation in viral infection between individuals is not affected by between-individual variation in exploration and activity.","10.1093/cz/zox053","1674-5507","2396-9814","ISI:000447424600004",NA,NA,NA,NA,2,184,245,"#000000",NA,""
"X.ISI.000446124700027","article","Foris, Borbala and Zebunke, Manuela and Langbein, Jan and Melzer, Nina","Evaluating the temporal and situational consistency of personality traits in adult dairy cattle","PLOS ONE","2018","13","10",NA,"OCT 1","Recent research suggests that personality, defined as consistent individual behavioral variation, in farm animals could be an important factor when considering their health, welfare, and productivity. However, behavioral tests are often performed individually and they might not reflect the behavioral differences manifested in every-day social environments. Furthermore, the contextual and longer-term temporal stability of personality traits have rarely been investigated in adult dairy cattle. In this study, we tested three groups of lactating Holstein cows (40 cows) using an individual arena test and a novel object test in groups to measure the contextual stability of behavior. Among the recorded individual test parameters, we used seven in the final analysis, which were determined by a systematic parameter reduction procedure. We found positive correlations between novel object contact duration in the group test and individual test parameters object contact duration (R-s = 0.361, P = 0.026) and movement duration (R-s = 0.336, P = 0.039). Both tests were repeated 6 months later to investigate their temporal stability whereby four individual test parameters were repeatable. There was no consistency in the group test results for 25 cows tested twice, possibly due to group composition changes. Furthermore, based on the seven individual test parameters, two personality traits (activity/exploration and boldness) were identified by principal component analysis. We found a positive association between the first and second tests for activity/exploration (R-s = 0.334, P = 0.058) and for boldness (R-s = 0.491, P = 0.004). Our results support the multidimensional nature of personality in adult dairy cattle and they indicate a link between behavior in individual and within-group situations. The lack of stability according to the group test results implies that group companions might have a stronger influence on individual behavior than expected. We suggest repeating the within-group behavioral measurements to study the relationship between the social environment and the manifestation of personality traits in every-day situations.","10.1371/journal.pone.0204619","1932-6203",NA,"ISI:000446124700027","e0204619","Langbein, Jan/0000-0002-1170-5431",NA,NA,3,220,377,"#000000",NA,""
"X.ISI.000445192700005","article","O'Neill, Samuel J. and Williamson, Jane E. and Tosetto, Louise and Brown, Culum","Effects of acclimatisation on behavioural repeatability in two behaviour assays of the guppy Poecilia reticulata","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","2018","72","10",NA,"OCT","Establishing behavioural repeatability is important in animal personality research; however, a range of factors can influence repeatability. Experimental design, particularly acclimation time, is important in managing a subject's stress prior to the onset of behavioural observations. Acclimatisation also ensures we capture normal behaviour and promotes consistency in the subject's responses between observations. The importance of acclimatisation prior to an assay is widely recognised by animal researchers; however, acclimation time varies dramatically across personality studies. Here, we investigated the effects of acclimatisation time on the repeatability of activity and emergence behaviour in feral and domestic populations of lab-reared guppy, Poecilia reticulata. Contrary with expectations and previous findings, we found highest repeatability in guppy activity levels after 2h of acclimation to the test arena. In the emergence assay, fish exposed to 10min of acclimatisation showed highest repeatability; however, all acclimation periods produced high repeatability, suggesting that the emergence assay generates robust behavioural responses irrespective of acclimation time. The outcomes were broadly consistent across both populations. These results show that methodology can impact the findings of animal personality research and needs to be considered carefully for each assay. We recommend that researchers investigate appropriate acclimatisation times for their study species prior to commencing research.Significance statementAnimal personality is individual differences in behaviour that are maintained through time and across contexts. Thus, demonstrating the repeatability of behavioural differences between individuals is imperative to establishing animal personality. To estimate repeatability, individuals are assessed multiple times on the same task to ensure there are consistent differences between individuals. When carrying out repeated observations, acclimatisation time should be considered to minimise stress levels of an animal prior to the behavioural assay. We assessed a range of acclimation times on emergence and activity behaviour in two populations of guppies. While individual variation in emergence behaviour was repeatable across a range of acclimation times, activity levels in guppies became significantly more repeatable after 2h of acclimatisation. These results show that considering proper acclimation time is important when performing behavioural experiments and should be properly calibrated by researchers prior to conducting personality research.","10.1007/s00265-018-2582-7","0340-5443","1432-0762","ISI:000445192700005","UNSP 166","O'Neill, Samuel/0000-0002-1339-4681",NA,NA,4,198,347,"#000000",NA,""
"X.ISI.000445316300002","article","Goma, Amira A. and Pearce, Gareth P. and Uddin, Jashim and Rimon, Eloise and Davies, Harriet and Phillips, Clive J. C.","A forced lateralisation test for dairy cows and its relation to their behaviour","APPLIED ANIMAL BEHAVIOUR SCIENCE","2018","207",NA,"8-19","OCT","Dairy cows' emotional state can sometimes be inferred from their behaviour, for example previous studies have suggested that those passing a novel person to the right are more likely to be anxious than those passing to the left. We undertook two studies of cow behaviour as they passed a novel person, to validate these behaviours as emotional indicators, in addition to determining correlations to other indices of emotional state. Cows passing to the right were more likely to have a raised or tucked tail, sniff the ground, walk slowly and a faster exit when put in a crush, compared with those passing to the left, which had their ears held forwards. From a principal component analysis, it was determined that cows passing on the right side were also most likely to pass without turning their head towards the person, pass singly and defecate whilst passing. However, those passing to the left side were most likely to turn to look at the person and pass in pairs. Cows with high milk yields were more likely to pass on the right side. Measurements of side of passage were repeatable between experiments but those of ear position were not. It is concluded that side of passage past a person correlates with other behavioural indicators of the cow's emotional state, with those passing to the right (i.e. left eye/right brain hemisphere) apparently more anxious. Evidence was also provided that high yielding cows are more anxious, as assessed by right side passage. With further validation, side of passage past a person could be developed as a simple measure of emotional state in dairy cows that can be conducted under field conditions.","10.1016/j.applanim.2018.06.008","0168-1591","1872-9045","ISI:000445316300002",NA,NA,NA,NA,5,11,102,"#000000",NA,""
"X.ISI.000441443800002","article","Cauchoix, M. and Chow, P. K. Y. and van Horik, J. O. and Atance, C. M. and Barbeau, E. J. and Barragan-Jason, G. and Bize, P. and Boussard, A. and Buechel, S. D. and Cabirol, A. and Cauchard, L. and Claidiere, N. and Dalesman, S. and Devaud, J. M. and Didic, M. and Doligez, B. and Fagot, J. and Fichtel, C. and Henke-von der Malsburg, J. and Hermer, E. and Huber, L. and Huebner, F. and Kappeler, P. M. and Klein, S. and Langbein, J. and Langley, E. J. G. and Lea, S. E. G. and Lihoreau, M. and Lovlie, H. and Matzel, L. D. and Nakagawa, S. and Nawroth, C. and Oesterwind, S. and Sauce, B. and Smith, E. A. and Sorato, E. and Tebbich, S. and Wallis, L. J. and Whiteside, M. A. and Wilkinson, A. and Chaine, A. S. and Morand-Ferron, J.","The repeatability of cognitive performance: a meta-analysis","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","2018","373","1756",NA,"SEP 26","Behavioural and cognitive processes play important roles in mediating an individual's interactions with its environment. Yet, while there is a vast literature on repeatable individual differences in behaviour, relatively little is known about the repeatability of cognitive performance. To further our understanding of the evolution of cognition, we gathered 44 studies on individual performance of 25 species across six animal classes and used meta-analysis to assess whether cognitive performance is repeatable. We compared repeatability (R) in performance (1) on the same task presented at different times (temporal repeatability), and (2) on different tasks that measured the same putative cognitive ability (contextual repeatability). We also addressed whether R estimates were influenced by seven extrinsic factors (moderators): type of cognitive performance measurement, type of cognitive task, delay between tests, origin of the subjects, experimental context, taxonomic class and publication status. We found support for both temporal and contextual repeatability of cognitive performance, with mean R estimates ranging between 0.15 and 0.28. Repeatability estimates were mostly influenced by the type of cognitive performance measures and publication status. Our findings highlight the widespread occurrence of consistent inter-individual variation in cognition across a range of taxa which, like behaviour, may be associated with fitness outcomes. This article is part of the theme issue `Causes and consequences of individual differences in cognitive abilities'.","10.1098/rstb.2017.0281","0962-8436","1471-2970","ISI:000441443800002","20170281","Wallis, Lisa/0000-0003-3931-3250 Nawroth, Christian/0000-0003-4582-4057",NA,NA,6,616,441,"#000000",NA,""
"X.ISI.000441443800006","article","Sorato, Enrico and Zidar, Josefina and Garnham, Laura and Wilson, Alastair and Lovlie, Hanne","Heritabilities and co-variation among cognitive traits in red junglefowl","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","2018","373","1756",NA,"SEP 26","Natural selection can act on between-individual variation in cognitive abilities, yet evolutionary responses depend on the presence of underlying genetic variation. It is, therefore, crucial to determine the relative extent of genetic versus environmental control of these among-individual differences in cognitive traits to understand their causes and evolutionary potential. We investigated heritability of associative learning performance and of a cognitive judgement bias (optimism), as well as their covariation, in a captive pedigree-bred population of red junglefowl (Gallus gallus, n. 300 chicks over 5 years). We analysed performance in discriminative and reversal learning (two facets of associative learning), and cognitive judgement bias, by conducting animal models to disentangle genetic from environmental contributions. We demonstrate moderate heritability for reversal learning, and weak to no heritability for optimism and discriminative learning, respectively. The two facets of associative learning were weakly negatively correlated, consistent with hypothesized trade-offs underpinning individual cognitive styles. Reversal, but not discriminative learning performance, was associated with judgement bias; less optimistic individuals reversed a previously learnt association faster. Together these results indicate that genetic and environmental contributions differ among traits. While modular models of cognitive abilities predict a lack of common genetic control for different cognitive traits, further investigation is required to fully ascertain the degree of covariation between a broader range of cognitive traits and the extent of any shared genetic control. This article is part of the theme issue `Causes and consequences of individual differences in cognitive abilities'.","10.1098/rstb.2017.0285","0962-8436","1471-2970","ISI:000441443800006","20170285","Lovlie, Hanne/0000-0003-4352-6275",NA,NA,7,264,406,"#000000",NA,""
"X.ISI.000445758800001","article","Sakai, Osamu","Comparison of personality between juveniles and adults in clonal gecko species","JOURNAL OF ETHOLOGY","2018","36","3","221-228","SEP","The developmental perspectives of animal personality enhance our understanding of how personality structure changes in relation to life stage. Clonal animals are ideal models for developmental studies because personality differences can be solely attributed to environmental factors. Here, I investigated the presence of personality within a species of clonal gecko, Lepidodactylus lugubris, at different developmental stages. For juveniles and adult geckos, I measured exploration (reaction to a novel situation) and boldness (risk-prone tendency) and evaluated repeatability and correlation of these behavioural traits. Each gecko exhibited different exploration and boldness with significant repeatability through time but no correlation between these behavioural traits. Small juveniles were composed of only bold and low explorative individuals but large juveniles and adults were composed of various personality type individuals. These results demonstrate that subject geckos have a similar personality structure across life stages and that exploration and boldness are independent personality without forming behavioural syndrome structure. Biased composition of personality type between life stages suggests that appearance of different personality type individuals during an early ontogenetic stage generates personality variation within the clonal population. This study provides developmental insight about personality structure and its composition in clonal animals living in the wild.","10.1007/s10164-018-0551-2","0289-0771","1439-5444","ISI:000445758800001",NA,NA,NA,NA,8,118,92,"#000000",NA,""
"X.ISI.000441246100007","article","Urszan, Tamas Janos and Zsolt Garamszegi, Laszlo and Nagy, Gergely and Hettyey, Attila and Torok, Janos and Herczeg, Gabor","Experience during development triggers between-individual variation in behavioural plasticity","JOURNAL OF ANIMAL ECOLOGY","2018","87","5","1264-1273","SEP","Behavioural consistency within and across behaviours (animal personality and behavioural syndrome, respectively) has been vigorously studied in the last decade, leading to the emergence of animal personality research. It has been proposed recently that not only mean behaviour (behavioural type), but the environmentally induced behavioural change (behavioural plasticity) might also differ between individuals within populations. While case studies presenting between-individual variation in behavioural plasticity have started to accumulate, the mechanisms behind its emergence are virtually unknown. We have recently demonstrated that ecologically relevant environmental stimuli during ontogeny are necessary for the development of animal personality and behavioural syndromes. However, it is unknown whether between-individual variation in behavioural plasticity is hard-wired or induced. Here, we tested whether experience with predation during development affected predator-induced behavioural plasticity in Rana dalmatina tadpoles. We ran a common garden experiment with two ontogenetic predation treatments: tadpoles developed from hatching in either the presence or absence of olfactory predator stimuli. Then, we assayed all tadpoles repeatedly for activity and risk-taking both in the absence and presence of olfactory predator stimuli. We found that (a) between-individual variation in predator-induced behavioural plasticity was present only in the group that developed in the presence of olfactory stimuli from predators and (b) previous experience with predatory stimuli resulted in lower plastic response at the group level. The latter pattern resulted from increased between-individual variation and not from universally lower individual responses. We also found that experience with predation during development increased the predictability (i.e. decreased the within-individual variation unrelated to environmental change) of activity, but not risk-taking. In line with this, tadpoles developing under perceived predatory risk expressed their activity with higher repeatability. We suggest that ecologically relevant environmental stimuli are not only fundamental for the development of animal personality and behavioural syndromes, but also for individual variation in behavioural plasticity. Thus, experience is of central importance for the emergence of individual behavioural variation at many levels.","10.1111/1365-2656.12847","0021-8790","1365-2656","ISI:000441246100007",NA,"Garamszegi, Laszlo/0000-0001-8920-2183","Garamszegi, Laszlo/M-1488-2015",NA,9,226,96,"#000000",NA,""
"X.ISI.000441953300008","article","Bonnot, Nadege C. and Bergvall, Ulrika A. and Jarnemo, Anders and Kjellander, Petter","Who's afraid of the big bad wolf? Variation in the stress response among personalities and populations in a large wild herbivore","OECOLOGIA","2018","188","1","85-95","SEP","Faced with rapid environmental changes, individuals may express different magnitude and plasticity in their response to a given stressor. However, little is known about the causes of variation in phenotypic plasticity of the stress response in wild populations. In the present study, we repeatedly captured individual roe deer (Capreolus capreolus) from two wild populations in Sweden exposed to differing levels of predation pressure and measured plasma concentrations of stress-induced cortisol and behavioral docility. While controlling for the marked effects of habituation, we found clear between-population differences in the stress-induced cortisol response. Roe deer living in the area that was recently recolonized by lynx (Lynx lynx) and wolves (Canis lupus) expressed cortisol levels that were around 30\% higher than roe deer in the human-dominated landscape free of large carnivores. In addition, for the first time to our knowledge, we investigated the stress-induced cortisol response in free-ranging newborn fawns and found no evidence for hypo-responsiveness during early life in this species. Indeed, stress-induced cortisol levels were of similar magnitude and differed between populations to a similar extent in both neonates and adults. Finally, at an individual level, we found that both cortisol and docility levels were strongly repeatable, and weakly negatively inter-correlated, suggesting that individuals differed consistently in how they respond to a stressor, and supporting the existence of a stress-management syndrome in roe deer.","10.1007/s00442-018-4174-7","0029-8549","1432-1939","ISI:000441953300008",NA,NA,NA,NA,10,655,495,"#000000",NA,""
