R behaviour p_val sample_size t1 t2 delta_t Key species_common species_latin measurements_per_ind sex context type_of_treatment treatment life_stage event R_se CI_lower CI_upper remarks max_lifespan_days
0.346* crowing_territory_behav 0.05 72 913.5 914.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.540** crowing_territory_behav 0.01 72 913.5 915.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.329* crowing_territory_behav 0.05 72 914.5 915.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.520** crowing_territory_behav 0.01 72 913.5 916.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.244 crowing_territory_behav >0.05 72 914.5 916.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.613** crowing_territory_behav 0.01 72 915.5 916.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.214 crowing_territory_behav >0.05 72 913.5 917.5 4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.366* crowing_territory_behav 0.05 72 914.5 917.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.521** crowing_territory_behav 0.01 72 915.5 917.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.168 crowing_territory_behav >0.05 72 916.5 917.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.330* crowing_territory_behav 0.05 72 913.5 918.5 5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.381* crowing_territory_behav 0.05 72 914.5 918.5 4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.399* crowing_territory_behav 0.05 72 915.5 918.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.291 crowing_territory_behav >0.05 72 916.5 918.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
