behaviour R p_val t1 t2 sample_size Key species_common species_latin measurements_per_ind sex context type_of_treatment treatment life_stage event R_se CI_lower CI_upper delta_t remarks max_lifespan_days
behaviour_nursing_interval 0.04 NS 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_interval_nutritive 0.09 NS 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_prop_non_nutrative 0.09 NS 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_udder_massage_duration 0.08 NS 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_udder_massage_duration2 0.07 NS 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_prop_terminated 0.23 NS 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_prop_initiated 0.28 0.1 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_preference_left_side 0.27 0.1 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
behaviour_nursing_preference_one_side 0.35 0.05 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
vocalisation_nursing_rate 0.91 0.001 558.5 1014.75 11 P8R6KJHZ domestic_pig Sus_domesticus 2 1 1 0 NA adult between_lactations NA NA NA 456.25 "pearson correlation" 3650
